PG,SG,SF,PF,C,G,F,UTIL,Budget,FPPG
Cameron Payne(25764791),CJ McCollum(25764689),Saddiq Bey(25764926),Chris Boucher(25765003),Pascal Siakam(25764586),Chris Paul(25764698),Darius Bazley(25765753),Mikal Bridges(25764758),50000.0,242.71
Jrue Holiday(25764659),Jevon Carter(25765133),Lauri Markkanen(25764636),Jalen Smith(25764940),Myles Turner(25764714),Tyrese Haliburton(25764595),Jonathan Kuminga(25765257),Cameron Johnson(25764877),50000.0,244.36
Ayo Dosunmu(25765217),Immanuel Quickley(25765089),Desmond Bane(25764651),John Collins(25764866),Johhny (25764556),Shai Gilgeous-Alexander(25764576),Larry Nance Jr.(25765151),Thomas Bryant(25765402),49800.0,255.78
Jalen Brunson(25764726),OG Anunoby(25764701),Jaden McDaniels(25765033),Julius Randle(25764662),Aleksej Pokusevski(25765073),De'Aaron Fox(25764623),Andrew Wiggins(25764736),Andre Drummond(25765267),50000.0,250.1
Cole Anthony(25764885),Quentin Grimes(25765110),Paolo Banchero(25764670),LeBron James(25764572),Bol Bol(25764809),Fred VanVleet(25764723),Aaron Wiggins(25765759),Marcus Smart(25764787),49800.0,237.31
Fred VanVleet(25764723),CJ McCollum(25764689),Lauri Markkanen(25764636),Larry Nance Jr.(25765151),Myles Turner(25764714),Ayo Dosunmu(25765217),Cameron Johnson(25764877),Chris Paul(25764698),49800.0,246.39
De'Aaron Fox(25764623),Marcus Smart(25764787),OG Anunoby(25764701),Chris Boucher(25765003),John Collins(25764866),Cameron Payne(25764791),Julius Randle(25764662),Nick Richards(25765160),50000.0,246.18
Cole Anthony(25764885),Dejounte Murray(25764598),Buddy Hield(25764804),Pascal Siakam(25764586),Clint Capela(25764756),Dennis Smith Jr.(25764943),Aleksej Pokusevski(25765073),Andre Drummond(25765267),50000.0,251.1
Dennis Smith Jr.(25764943),Seth Curry(25765220),Aaron Wiggins(25765759),Paolo Banchero(25764670),Johhny (25764556),Shai Gilgeous-Alexander(25764576),Kevin Huerter(25764880),Nick Richards(25765160),49900.0,252.49
Fred VanVleet(25764723),Seth Curry(25765220),Andrew Wiggins(25764736),Aleksej Pokusevski(25765073),Johhny (25764556),CJ McCollum(25764689),Larry Nance Jr.(25765151),Cameron Johnson(25764877),49900.0,246.22
Ayo Dosunmu(25765217),Immanuel Quickley(25765089),Buddy Hield(25764804),Chris Boucher(25765003),Myles Turner(25764714),Cade Cunningham(25764676),Lauri Markkanen(25764636),De'Aaron Fox(25764623),49900.0,253.19
Josh Giddey(25764683),Marcus Smart(25764787),Andrew Wiggins(25764736),John Collins(25764866),Pascal Siakam(25764586),Jrue Holiday(25764659),Jonathan Kuminga(25765257),Thomas Bryant(25765402),50000.0,244.6
Josh Giddey(25764683),Lonnie Walker IV(25765019),Paolo Banchero(25764670),Julius Randle(25764662),Thomas Bryant(25765402),OG Anunoby(25764701),Mikal Bridges(25764758),Kelly Olynyk(25764826),50000.0,247.37
Immanuel Quickley(25765089),Marcus Smart(25764787),Mikal Bridges(25764758),Chris Boucher(25765003),Johhny (25764556),Ayo Dosunmu(25765217),John Collins(25764866),Jrue Holiday(25764659),49900.0,253.81
Fred VanVleet(25764723),Jevon Carter(25765133),Kevin Huerter(25764880),Larry Nance Jr.(25765151),Myles Turner(25764714),Jrue Holiday(25764659),Cameron Johnson(25764877),Tyrese Haliburton(25764595),49900.0,252.71
Cade Cunningham(25764676),Cole Anthony(25764885),Lauri Markkanen(25764636),Julius Randle(25764662),Clint Capela(25764756),Cameron Payne(25764791),Aleksej Pokusevski(25765073),Nick Richards(25765160),49900.0,247.73
Dejounte Murray(25764598),Seth Curry(25765220),Kevin Huerter(25764880),Pascal Siakam(25764586),Darius Bazley(25765753),Dennis Smith Jr.(25764943),Jonathan Kuminga(25765257),Shai Gilgeous-Alexander(25764576),49800.0,242.99
Fred VanVleet(25764723),CJ McCollum(25764689),Lauri Markkanen(25764636),Jericho Sims(25765427),Myles Turner(25764714),Cameron Payne(25764791),Larry Nance Jr.(25765151),Chris Paul(25764698),50000.0,242.59
Jalen Brunson(25764726),CJ McCollum(25764689),Paolo Banchero(25764670),Chris Boucher(25765003),Thomas Bryant(25765402),Shai Gilgeous-Alexander(25764576),Aleksej Pokusevski(25765073),Cameron Johnson(25764877),50000.0,247.56
Immanuel Quickley(25765089),Seth Curry(25765220),Andrew Wiggins(25764736),Pascal Siakam(25764586),Mason Plumlee(25764831),Cade Cunningham(25764676),Jalen Smith(25764940),Chris Paul(25764698),49900.0,248.74
Cade Cunningham(25764676),Seth Curry(25765220),Saddiq Bey(25764926),John Collins(25764866),Thomas Bryant(25765402),Jrue Holiday(25764659),Andrew Wiggins(25764736),Shai Gilgeous-Alexander(25764576),49800.0,250.06
Fred VanVleet(25764723),Buddy Hield(25764804),Saddiq Bey(25764926),Aleksej Pokusevski(25765073),Johhny (25764556),Ayo Dosunmu(25765217),Andrew Wiggins(25764736),Cameron Johnson(25764877),49900.0,248.3
CJ McCollum(25764689),Jevon Carter(25765133),OG Anunoby(25764701),Jericho Sims(25765427),Johhny (25764556),Jrue Holiday(25764659),John Collins(25764866),Larry Nance Jr.(25765151),49900.0,252.44
Dennis Smith Jr.(25764943),Seth Curry(25765220),Saddiq Bey(25764926),Julius Randle(25764662),Myles Turner(25764714),Cade Cunningham(25764676),Mikal Bridges(25764758),Chris Paul(25764698),49800.0,247.87
Immanuel Quickley(25765089),OG Anunoby(25764701),Jaden McDaniels(25765033),Chris Boucher(25765003),Clint Capela(25764756),Jalen Brunson(25764726),Jalen Smith(25764940),Shai Gilgeous-Alexander(25764576),49900.0,248.51
Chris Paul(25764698),Seth Curry(25765220),Mikal Bridges(25764758),John Collins(25764866),Larry Nance Jr.(25765151),Desmond Bane(25764651),Julius Randle(25764662),Rudy Gobert(25764708),49900.0,243.2
Fred VanVleet(25764723),Immanuel Quickley(25765089),Buddy Hield(25764804),Julius Randle(25764662),Pascal Siakam(25764586),CJ McCollum(25764689),Aleksej Pokusevski(25765073),Andre Drummond(25765267),50000.0,254.22
Immanuel Quickley(25765089),Gary Trent Jr.(25765016),Saddiq Bey(25764926),Chris Boucher(25765003),Johhny (25764556),Jrue Holiday(25764659),Cameron Johnson(25764877),Myles Turner(25764714),50000.0,253.23
Ayo Dosunmu(25765217),Josh Giddey(25764683),Aaron Wiggins(25765759),Lauri Markkanen(25764636),Mason Plumlee(25764831),Tyrese Haliburton(25764595),Mikal Bridges(25764758),Cameron Payne(25764791),50000.0,244.16
Cole Anthony(25764885),Seth Curry(25765220),OG Anunoby(25764701),Jalen Smith(25764940),Johhny (25764556),Dennis Smith Jr.(25764943),Cameron Johnson(25764877),Fred VanVleet(25764723),50000.0,246.79
Ayo Dosunmu(25765217),Desmond Bane(25764651),Andrew Wiggins(25764736),Aleksej Pokusevski(25765073),Myles Turner(25764714),Cade Cunningham(25764676),Jalen Smith(25764940),Jrue Holiday(25764659),50000.0,257.36
Dejounte Murray(25764598),CJ McCollum(25764689),Saddiq Bey(25764926),Julius Randle(25764662),Mason Plumlee(25764831),Ayo Dosunmu(25765217),Lauri Markkanen(25764636),Thomas Bryant(25765402),49900.0,247.79
Jevon Carter(25765133),Desmond Bane(25764651),Saddiq Bey(25764926),Larry Nance Jr.(25765151),Clint Capela(25764756),Josh Giddey(25764683),Andrew Wiggins(25764736),Lauri Markkanen(25764636),49900.0,248.34
Fred VanVleet(25764723),Seth Curry(25765220),Jaden McDaniels(25765033),Julius Randle(25764662),Johhny (25764556),Jrue Holiday(25764659),Darius Bazley(25765753),Jalen Smith(25764940),49900.0,249.78
Shai Gilgeous-Alexander(25764576),Gary Trent Jr.(25765016),Lauri Markkanen(25764636),John Collins(25764866),Aleksej Pokusevski(25765073),Klay Thompson(25764782),Larry Nance Jr.(25765151),Mikal Bridges(25764758),50000.0,248.89
Dennis Smith Jr.(25764943),CJ McCollum(25764689),Buddy Hield(25764804),Pascal Siakam(25764586),Kelly Olynyk(25764826),Ayo Dosunmu(25765217),Saddiq Bey(25764926),Chris Paul(25764698),50000.0,249.87
Immanuel Quickley(25765089),Josh Giddey(25764683),Andrew Wiggins(25764736),Jalen Smith(25764940),John Collins(25764866),Tyrese Haliburton(25764595),Cameron Johnson(25764877),Cameron Payne(25764791),50000.0,241.47
CJ McCollum(25764689),Klay Thompson(25764782),Andrew Wiggins(25764736),Chris Boucher(25765003),Larry Nance Jr.(25765151),Jrue Holiday(25764659),Julius Randle(25764662),Cameron Johnson(25764877),50000.0,246.98
Cole Anthony(25764885),Desmond Bane(25764651),Saddiq Bey(25764926),Darius Bazley(25765753),Johhny (25764556),Jalen Brunson(25764726),Jalen Smith(25764940),Malcolm Brogdon(25764946),49800.0,252.35
Cole Anthony(25764885),Marcus Smart(25764787),Paolo Banchero(25764670),Chris Boucher(25765003),Myles Turner(25764714),Fred VanVleet(25764723),John Collins(25764866),Cameron Payne(25764791),49700.0,246.67
Ayo Dosunmu(25765217),Desmond Bane(25764651),Saddiq Bey(25764926),Aleksej Pokusevski(25765073),Nick Richards(25765160),Shai Gilgeous-Alexander(25764576),Lauri Markkanen(25764636),Mikal Bridges(25764758),50000.0,251.78
Jrue Holiday(25764659),Immanuel Quickley(25765089),OG Anunoby(25764701),John Collins(25764866),Johhny (25764556),Cameron Payne(25764791),Larry Nance Jr.(25765151),Nick Richards(25765160),49800.0,251.88
CJ McCollum(25764689),Seth Curry(25765220),Andrew Wiggins(25764736),Aleksej Pokusevski(25765073),Myles Turner(25764714),Cade Cunningham(25764676),Jalen Smith(25764940),Lauri Markkanen(25764636),49900.0,248.84
Jevon Carter(25765133),Desmond Bane(25764651),Jaden McDaniels(25765033),Saddiq Bey(25764926),Myles Turner(25764714),Tyrese Haliburton(25764595),Cameron Johnson(25764877),Mikal Bridges(25764758),50000.0,247.66
De'Aaron Fox(25764623),Jevon Carter(25765133),Paolo Banchero(25764670),Pascal Siakam(25764586),Jonathan Kuminga(25765257),Chris Paul(25764698),Jaden McDaniels(25765033),Malcolm Brogdon(25764946),50000.0,243.81
Fred VanVleet(25764723),Klay Thompson(25764782),Saddiq Bey(25764926),Pascal Siakam(25764586),Aleksej Pokusevski(25765073),Cameron Payne(25764791),Larry Nance Jr.(25765151),Myles Turner(25764714),49800.0,246.49
Jrue Holiday(25764659),Aaron Wiggins(25765759),Andrew Wiggins(25764736),Jericho Sims(25765427),Johhny (25764556),Shai Gilgeous-Alexander(25764576),Jonathan Kuminga(25765257),Precious Achiuwa(25765077),49900.0,242.55
Ayo Dosunmu(25765217),Dejounte Murray(25764598),Buddy Hield(25764804),Chris Boucher(25765003),Nick Richards(25765160),Tyrese Haliburton(25764595),Julius Randle(25764662),Cameron Johnson(25764877),49900.0,247.96
Fred VanVleet(25764723),Immanuel Quickley(25765089),Lonnie Walker IV(25765019),Chris Boucher(25765003),Nick Richards(25765160),OG Anunoby(25764701),Pascal Siakam(25764586),De'Aaron Fox(25764623),50000.0,253.8
Fred VanVleet(25764723),Seth Curry(25765220),Aaron Wiggins(25765759),Chris Boucher(25765003),Johhny (25764556),Jrue Holiday(25764659),Cameron Johnson(25764877),Myles Turner(25764714),49800.0,247.51
Shai Gilgeous-Alexander(25764576),CJ McCollum(25764689),Lauri Markkanen(25764636),Chris Boucher(25765003),John Collins(25764866),Mike Conley(25764870),Aleksej Pokusevski(25765073),Larry Nance Jr.(25765151),50000.0,250.41
Cole Anthony(25764885),CJ McCollum(25764689),Paolo Banchero(25764670),John Collins(25764866),Pascal Siakam(25764586),Cameron Payne(25764791),Saddiq Bey(25764926),Thomas Bryant(25765402),50000.0,247.76
Jalen Brunson(25764726),Cole Anthony(25764885),Desmond Bane(25764651),Jalen Smith(25764940),Nick Richards(25765160),Cade Cunningham(25764676),Andrew Wiggins(25764736),Cameron Payne(25764791),49900.0,250.6
Dejounte Murray(25764598),Josh Giddey(25764683),Saddiq Bey(25764926),Aleksej Pokusevski(25765073),Larry Nance Jr.(25765151),Cade Cunningham(25764676),Cameron Johnson(25764877),Myles Turner(25764714),49900.0,244.98
Dennis Smith Jr.(25764943),Cole Anthony(25764885),Paolo Banchero(25764670),Darius Bazley(25765753),Johhny (25764556),Fred VanVleet(25764723),Jaden McDaniels(25765033),Cameron Payne(25764791),50000.0,248.5
Immanuel Quickley(25765089),Jevon Carter(25765133),Lauri Markkanen(25764636),Julius Randle(25764662),Darius Bazley(25765753),De'Aaron Fox(25764623),Mikal Bridges(25764758),Jrue Holiday(25764659),50000.0,250.98
Cole Anthony(25764885),Immanuel Quickley(25765089),Andrew Wiggins(25764736),Chris Boucher(25765003),John Collins(25764866),Tyrese Haliburton(25764595),Mikal Bridges(25764758),Chris Paul(25764698),50000.0,247.03
Fred VanVleet(25764723),Cole Anthony(25764885),Buddy Hield(25764804),Chris Boucher(25765003),Johhny (25764556),Chris Paul(25764698),Aleksej Pokusevski(25765073),Larry Nance Jr.(25765151),50000.0,249.52
Immanuel Quickley(25765089),CJ McCollum(25764689),Andrew Wiggins(25764736),John Collins(25764866),Nick Richards(25765160),Shai Gilgeous-Alexander(25764576),Cameron Johnson(25764877),Cameron Payne(25764791),49800.0,244.02
CJ McCollum(25764689),Seth Curry(25765220),Desmond Bane(25764651),Julius Randle(25764662),Nick Richards(25765160),Cade Cunningham(25764676),Saddiq Bey(25764926),Myles Turner(25764714),49900.0,253.4
Dennis Smith Jr.(25764943),Jevon Carter(25765133),LeBron James(25764572),Jericho Sims(25765427),Clint Capela(25764756),Jrue Holiday(25764659),Pascal Siakam(25764586),Andre Drummond(25765267),50000.0,253.41
Fred VanVleet(25764723),Gary Trent Jr.(25765016),Andrew Wiggins(25764736),John Collins(25764866),Johhny (25764556),Cameron Payne(25764791),Aleksej Pokusevski(25765073),Larry Nance Jr.(25765151),49900.0,250.3
Immanuel Quickley(25765089),Seth Curry(25765220),Herbert Jones(25764999),Julius Randle(25764662),Pascal Siakam(25764586),CJ McCollum(25764689),Cameron Johnson(25764877),Chris Paul(25764698),50000.0,243.65
Immanuel Quickley(25765089),OG Anunoby(25764701),Desmond Bane(25764651),Julius Randle(25764662),Myles Turner(25764714),Seth Curry(25765220),Jalen Smith(25764940),Chris Paul(25764698),49800.0,248.22
Dennis Smith Jr.(25764943),Seth Curry(25765220),Paolo Banchero(25764670),Julius Randle(25764662),Clint Capela(25764756),Cade Cunningham(25764676),Lauri Markkanen(25764636),Nick Richards(25765160),50000.0,252.13
Fred VanVleet(25764723),CJ McCollum(25764689),Saddiq Bey(25764926),Pascal Siakam(25764586),Nick Richards(25765160),Cade Cunningham(25764676),Larry Nance Jr.(25765151),Cameron Johnson(25764877),50000.0,251.08
Dennis Smith Jr.(25764943),Buddy Hield(25764804),Saddiq Bey(25764926),Julius Randle(25764662),Myles Turner(25764714),Klay Thompson(25764782),Andrew Wiggins(25764736),Kelly Olynyk(25764826),50000.0,248.21
Cade Cunningham(25764676),Seth Curry(25765220),Desmond Bane(25764651),Aleksej Pokusevski(25765073),Johhny (25764556),Jrue Holiday(25764659),Jaden McDaniels(25765033),Thomas Bryant(25765402),50000.0,252.8
Dejounte Murray(25764598),Josh Giddey(25764683),Jaden McDaniels(25765033),John Collins(25764866),Clint Capela(25764756),Ayo Dosunmu(25765217),Jalen Smith(25764940),Jrue Holiday(25764659),49700.0,245.64
Cole Anthony(25764885),Seth Curry(25765220),Paolo Banchero(25764670),John Collins(25764866),Johhny (25764556),Ayo Dosunmu(25765217),Andrew Wiggins(25764736),Cameron Payne(25764791),50000.0,249.42
Ayo Dosunmu(25765217),OG Anunoby(25764701),Saddiq Bey(25764926),Pascal Siakam(25764586),Aleksej Pokusevski(25765073),Jrue Holiday(25764659),Cameron Johnson(25764877),Cameron Payne(25764791),49500.0,245.29
Immanuel Quickley(25765089),Seth Curry(25765220),Buddy Hield(25764804),Chris Boucher(25765003),Myles Turner(25764714),Tyrese Haliburton(25764595),Julius Randle(25764662),Chris Paul(25764698),49800.0,248.15
Fred VanVleet(25764723),CJ McCollum(25764689),Buddy Hield(25764804),Chris Boucher(25765003),Pascal Siakam(25764586),Ayo Dosunmu(25765217),Larry Nance Jr.(25765151),Cade Cunningham(25764676),50000.0,256.12
Ayo Dosunmu(25765217),Norman Powell(25764904),Jaden McDaniels(25765033),Jalen Smith(25764940),Johhny (25764556),Jrue Holiday(25764659),Cameron Johnson(25764877),Chris Paul(25764698),50000.0,244.1
Fred VanVleet(25764723),Seth Curry(25765220),OG Anunoby(25764701),John Collins(25764866),Clint Capela(25764756),CJ McCollum(25764689),Larry Nance Jr.(25765151),De'Aaron Fox(25764623),50000.0,246.99
Ayo Dosunmu(25765217),Dejounte Murray(25764598),Andrew Wiggins(25764736),Aleksej Pokusevski(25765073),Myles Turner(25764714),Chris Paul(25764698),Jalen Smith(25764940),Mikal Bridges(25764758),50000.0,246.11
Dennis Smith Jr.(25764943),Malcolm Brogdon(25764946),Saddiq Bey(25764926),Chris Boucher(25765003),Nick Richards(25765160),Tyrese Haliburton(25764595),Pascal Siakam(25764586),Chris Paul(25764698),49900.0,251.42
Fred VanVleet(25764723),Jevon Carter(25765133),Buddy Hield(25764804),Larry Nance Jr.(25765151),Johhny (25764556),Jrue Holiday(25764659),Mikal Bridges(25764758),Andre Drummond(25765267),50000.0,255.75
Jalen Brunson(25764726),Seth Curry(25765220),Saddiq Bey(25764926),Chris Boucher(25765003),Jericho Sims(25765427),Shai Gilgeous-Alexander(25764576),Pascal Siakam(25764586),Cameron Payne(25764791),50000.0,244.76
Dennis Smith Jr.(25764943),Immanuel Quickley(25765089),Mikal Bridges(25764758),Chris Boucher(25765003),Myles Turner(25764714),Jalen Brunson(25764726),Julius Randle(25764662),CJ McCollum(25764689),49800.0,252.62
Tyrese Haliburton(25764595),Klay Thompson(25764782),Lauri Markkanen(25764636),Aleksej Pokusevski(25765073),Jonathan Kuminga(25765257),Cameron Payne(25764791),Cameron Johnson(25764877),Mikal Bridges(25764758),50000.0,232.87
Fred VanVleet(25764723),Immanuel Quickley(25765089),Paolo Banchero(25764670),Pascal Siakam(25764586),Nick Richards(25765160),Cameron Payne(25764791),Aleksej Pokusevski(25765073),Myles Turner(25764714),50000.0,252.17
Dejounte Murray(25764598),CJ McCollum(25764689),Saddiq Bey(25764926),Chris Boucher(25765003),Jericho Sims(25765427),Jrue Holiday(25764659),Mikal Bridges(25764758),Cameron Payne(25764791),50000.0,240.88
Dennis Smith Jr.(25764943),Immanuel Quickley(25765089),Buddy Hield(25764804),John Collins(25764866),Clint Capela(25764756),Shai Gilgeous-Alexander(25764576),Larry Nance Jr.(25765151),Lauri Markkanen(25764636),50000.0,251.72
Dennis Smith Jr.(25764943),Cole Anthony(25764885),OG Anunoby(25764701),John Collins(25764866),Johhny (25764556),D'Angelo Russell(25764720),Cameron Johnson(25764877),Thomas Bryant(25765402),50000.0,246.51
CJ McCollum(25764689),Desmond Bane(25764651),Jaden McDaniels(25765033),John Collins(25764866),Clint Capela(25764756),Cameron Payne(25764791),Julius Randle(25764662),Larry Nance Jr.(25765151),49900.0,246.77
Dennis Smith Jr.(25764943),Cole Anthony(25764885),Keegan Murray(25765120),Julius Randle(25764662),Aleksej Pokusevski(25765073),Cade Cunningham(25764676),Mikal Bridges(25764758),Tyrese Haliburton(25764595),50000.0,252.89
Fred VanVleet(25764723),Gary Trent Jr.(25765016),Saddiq Bey(25764926),Chris Boucher(25765003),Myles Turner(25764714),Jrue Holiday(25764659),Lauri Markkanen(25764636),Cameron Johnson(25764877),49900.0,249.47
Immanuel Quickley(25765089),Gary Trent Jr.(25765016),Buddy Hield(25764804),Julius Randle(25764662),Johhny (25764556),Ayo Dosunmu(25765217),Andrew Wiggins(25764736),Mike Conley(25764870),49900.0,256.98
Fred VanVleet(25764723),Cole Anthony(25764885),Jaden McDaniels(25765033),Chris Boucher(25765003),Pascal Siakam(25764586),Ayo Dosunmu(25765217),Julius Randle(25764662),Myles Turner(25764714),49900.0,254.15
Ayo Dosunmu(25765217),CJ McCollum(25764689),Saddiq Bey(25764926),Cameron Johnson(25764877),Clint Capela(25764756),Jevon Carter(25765133),Mikal Bridges(25764758),Johhny (25764556),50000.0,248.21
Dennis Smith Jr.(25764943),OG Anunoby(25764701),Paolo Banchero(25764670),Jaden McDaniels(25765033),Larry Nance Jr.(25765151),Cameron Payne(25764791),Lauri Markkanen(25764636),Rudy Gobert(25764708),49900.0,242.64
Shai Gilgeous-Alexander(25764576),Seth Curry(25765220),Jaden McDaniels(25765033),Aleksej Pokusevski(25765073),Clint Capela(25764756),Cameron Payne(25764791),Andrew Wiggins(25764736),Chris Paul(25764698),49900.0,239.62
Ayo Dosunmu(25765217),CJ McCollum(25764689),Saddiq Bey(25764926),Chris Boucher(25765003),Johhny (25764556),Tyrese Haliburton(25764595),Jalen Smith(25764940),Nick Richards(25765160),50000.0,253.46
Jalen Brunson(25764726),Seth Curry(25765220),Mikal Bridges(25764758),Aleksej Pokusevski(25765073),Clint Capela(25764756),Shai Gilgeous-Alexander(25764576),Cameron Johnson(25764877),Mike Conley(25764870),50000.0,244.48
Dejounte Murray(25764598),Seth Curry(25765220),Andrew Wiggins(25764736),John Collins(25764866),Andre Drummond(25765267),Kyrie Irving(25764626),Jalen Smith(25764940),Jrue Holiday(25764659),49900.0,246.45
Jrue Holiday(25764659),Seth Curry(25765220),LeBron James(25764572),Julius Randle(25764662),Clint Capela(25764756),Aaron Wiggins(25765759),Larry Nance Jr.(25765151),Myles Turner(25764714),50000.0,251.03
Fred VanVleet(25764723),OG Anunoby(25764701),Lauri Markkanen(25764636),Chris Boucher(25765003),Aleksej Pokusevski(25765073),Seth Curry(25765220),Julius Randle(25764662),Myles Turner(25764714),49900.0,248.45
Cole Anthony(25764885),Immanuel Quickley(25765089),OG Anunoby(25764701),John Collins(25764866),Johhny (25764556),Ayo Dosunmu(25765217),Cameron Johnson(25764877),CJ McCollum(25764689),50000.0,250.81
Fred VanVleet(25764723),Immanuel Quickley(25765089),Andrew Wiggins(25764736),Larry Nance Jr.(25765151),Thomas Bryant(25765402),Shai Gilgeous-Alexander(25764576),Lauri Markkanen(25764636),Cameron Payne(25764791),49900.0,246.39
